MeasurementTimeStamp,ServerTimeStamp,CVTimeStamp,Voltage,PC1,PC2,PC3,PC4,PC5,PC6
2016-07-19T11:30:40.000000-0500,2016-07-19T11:31:05.000000-0500,11:30:31 AM ,-0.003,307823.36235,7472.11456299,7183.62808228,6975.49819946,7573.34709167,7318.63975525
2016-07-19T11:30:56.000000-0500,2016-07-19T11:31:06.000000-0500,11:30:53 AM ,0.097,306187.171936,7472.53417969,7183.73298645,6975.39329529,7573.34709167,7318.53485107
2016-07-19T11:31:12.000000-0500,2016-07-19T11:32:07.000000-0500,11:30:53 AM ,0.097,305994.04335,7472.53417969,7183.62808228,6975.39329529,7573.2421875,7318.53485107
2016-07-19T11:31:28.000000-0500,2016-07-19T11:32:08.000000-0500,11:31:15 AM ,0.197,303815.70816,7472.84889221,7183.83789063,6975.28839111,7573.2421875,7318.4299469
2016-07-19T11:31:44.000000-0500,2016-07-19T11:32:08.000000-0500,11:31:38 AM ,0.297,301231.708527,7473.47831726,7183.73298645,6975.28839111,7572.92747498,7318.22013855
2016-07-19T11:32:16.000000-0500,2016-07-19T11:33:07.000000-0500,11:32:00 AM ,0.397,298174.066544,7473.89793396,7183.73298645,6975.07858276,7572.71766663,7318.0103302
2016-07-19T11:32:32.000000-0500,2016-07-19T11:33:07.000000-0500,11:32:22 AM ,0.497,294580.783844,7474.73716736,7184.15260315,6975.18348694,7572.8225708,7318.0103302
2016-07-19T11:32:48.000000-0500,2016-07-19T11:33:08.000000-0500,11:32:45 AM ,0.598,290415.353775,7475.68130493,7184.3624115,6975.28839111,7572.8225708,7318.11523438
2016-07-19T11:33:04.000000-0500,2016-07-19T11:33:08.000000-0500,11:32:45 AM ,0.598,290416.717529,7475.89111328,7184.57221985,6975.18348694,7572.8225708,7318.0103302
2016-07-19T11:33:20.000000-0500,2016-07-19T11:34:05.000000-0500,11:33:07 AM ,0.698,285713.443756,7476.83525085,7184.67712402,6975.18348694,7572.61276245,7317.90542603
2016-07-19T11:33:36.000000-0500,2016-07-19T11:34:05.000000-0500,11:33:29 AM ,0.798,280525.932312,7477.98919678,7185.09674072,6975.07858276,7572.61276245,7317.80052185
2016-07-19T11:34:08.000000-0500,2016-07-19T11:35:09.000000-0500,11:33:52 AM ,0.898,274940.93895,7479.03823853,7185.30654907,6974.97367859,7572.29804993,7317.5907135
2016-07-19T11:34:24.000000-0500,2016-07-19T11:36:05.000000-0500,11:34:14 AM ,0.998,269051.618576,7480.29708862,7185.51635742,6975.07858276,7572.19314575,7317.5907135
2016-07-19T11:34:40.000000-0500,2016-07-19T11:36:05.000000-0500,11:34:36 AM ,1.098,262973.575592,7481.87065125,7186.14578247,6975.07858276,7572.29804993,7317.48580933
2016-07-19T11:34:56.000000-0500,2016-07-19T11:36:06.000000-0500,11:34:36 AM ,1.098,262973.7854,7481.76574707,7186.0408783,6975.18348694,7572.19314575,7317.48580933
2016-07-19T11:35:12.000000-0500,2016-07-19T11:36:06.000000-0500,11:34:58 AM ,1.198,256792.621613,7483.02459717,7186.35559082,6974.97367859,7572.08824158,7317.27600098
2016-07-19T11:35:28.000000-0500,2016-07-19T11:36:07.000000-0500,11:35:21 AM ,1.298,250553.55072,7484.28344727,7186.67030334,6974.97367859,7571.87843323,7317.1710968
2016-07-19T11:35:44.000000-0500,2016-07-19T11:36:07.000000-0500,11:35:43 AM ,1.398,250553.026199,7484.38835144,7186.77520752,6974.97367859,7571.87843323,7317.06619263
2016-07-19T11:36:00.000000-0500,2016-07-19T11:36:07.000000-0500,11:35:43 AM ,1.398,244319.095612,7485.64720154,7186.98501587,6974.97367859,7571.66862488,7316.96128845
2016-07-19T11:36:16.000000-0500,2016-07-19T11:37:07.000000-0500,11:36:05 AM ,1.498,238126.811981,7486.90605164,7187.40463257,6974.86877441,7571.66862488,7316.96128845
2016-07-19T11:36:32.000000-0500,2016-07-19T11:37:07.000000-0500,11:36:27 AM ,1.598,232054.224014,7488.37471008,7187.82424927,6975.07858276,7571.5637207,7316.96128845
2016-07-19T11:36:48.000000-0500,2016-07-19T11:37:07.000000-0500,11:36:27 AM ,1.598,232056.322098,7488.37471008,7187.92915344,6974.97367859,7571.66862488,7316.85638428
2016-07-19T11:37:04.000000-0500,2016-07-19T11:37:08.000000-0500,11:36:49 AM ,1.698,226128.606796,7489.52865601,7188.13896179,6974.97367859,7571.35391235,7316.7514801
2016-07-19T11:37:20.000000-0500,2016-07-19T11:38:06.000000-0500,11:37:12 AM ,1.798,220386.571884,7490.89241028,7188.55857849,6974.97367859,7571.45881653,7316.64657593
2016-07-19T11:37:36.000000-0500,2016-07-19T11:39:05.000000-0500,11:37:34 AM ,1.898,266821.880341,7480.4019928,7185.51635742,6974.86877441,7571.87843323,7317.1710968
2016-07-19T11:37:52.000000-0500,2016-07-19T11:39:05.000000-0500,11:37:34 AM ,1.898,214856.653214,7492.0463562,7188.87329102,6974.97367859,7571.35391235,7316.43676758
2016-07-19T11:38:08.000000-0500,2016-07-19T11:39:06.000000-0500,11:37:56 AM ,1.998,209635.572433,7493.09539795,7189.08309937,6974.97367859,7571.144104,7316.43676758
2016-07-19T11:38:24.000000-0500,2016-07-19T11:39:06.000000-0500,11:38:18 AM ,2.098,204723.958969,7494.1444397,7189.39781189,6974.86877441,7571.144104,7316.3318634
2016-07-19T11:38:56.000000-0500,2016-07-19T11:39:07.000000-0500,11:38:40 AM ,2.198,200157.48024,7495.29838562,7189.92233276,6975.18348694,7571.24900818,7316.54167175
2016-07-19T11:39:12.000000-0500,2016-07-19T11:40:06.000000-0500,11:39:03 AM ,2.298,195920.40062,7496.45233154,7190.23704529,6975.28839111,7571.144104,7316.54167175
2016-07-19T11:39:28.000000-0500,2016-07-19T11:40:06.000000-0500,11:39:25 AM ,2.398,191999.082565,7497.29156494,7190.65666199,6975.39329529,7571.35391235,7316.64657593
2016-07-19T11:39:44.000000-0500,2016-07-19T11:40:07.000000-0500,11:39:25 AM ,2.398,192008.733749,7497.29156494,7190.55175781,6975.49819946,7571.24900818,7316.64657593
2016-07-19T11:40:00.000000-0500,2016-07-19T11:40:08.000000-0500,11:39:47 AM ,2.498,188390.378952,7497.92098999,7190.76156616,6975.28839111,7571.24900818,7316.54167175
2016-07-19T11:40:16.000000-0500,2016-07-19T11:41:11.000000-0500,11:40:09 AM ,2.598,185024.843216,7498.55041504,7190.86647034,6975.28839111,7571.144104,7316.43676758
2016-07-19T11:40:32.000000-0500,2016-07-19T11:41:11.000000-0500,11:40:31 AM ,2.698,185027.46582,7498.55041504,7190.86647034,6975.18348694,7571.03919983,7316.3318634
2016-07-19T11:40:48.000000-0500,2016-07-19T11:41:12.000000-0500,11:40:31 AM ,2.698,181896.705627,7499.17984009,7191.07627869,6975.39329529,7571.03919983,7316.43676758
2016-07-19T11:41:04.000000-0500,2016-07-19T11:41:12.000000-0500,11:40:54 AM ,2.798,178958.129883,7499.70436096,7191.18118286,6975.28839111,7571.03919983,7316.3318634
2016-07-19T11:41:20.000000-0500,2016-07-19T11:43:06.000000-0500,11:41:16 AM ,2.898,176194.849014,7500.54359436,7191.39099121,6975.39329529,7570.93429565,7316.3318634
2016-07-19T11:41:36.000000-0500,2016-07-19T11:43:07.000000-0500,11:41:16 AM ,2.898,176213.207245,7500.54359436,7191.49589539,6975.28839111,7571.03919983,7316.3318634
2016-07-19T11:41:52.000000-0500,2016-07-19T11:43:08.000000-0500,11:41:38 AM ,2.998,173631.095886,7500.96321106,7191.49589539,6975.39329529,7570.7244873,7316.12205505
2016-07-19T11:42:08.000000-0500,2016-07-19T11:43:09.000000-0500,11:42:00 AM ,3.098,171213.36937,7501.27792358,7191.60079956,6975.28839111,7570.93429565,7316.12205505
2016-07-19T11:42:24.000000-0500,2016-07-19T11:43:09.000000-0500,11:42:22 AM ,3.199,185536.460876,7498.13079834,7190.55175781,6975.07858276,7570.93429565,7316.12205505
2016-07-19T11:42:40.000000-0500,2016-07-19T11:44:07.000000-0500,11:42:22 AM ,3.199,169014.892578,7501.69754028,7191.70570374,6975.18348694,7570.7244873,7316.01715088
2016-07-19T11:42:56.000000-0500,2016-07-19T11:44:08.000000-0500,11:42:45 AM ,3.298,167121.582031,7502.22206116,7191.81060791,6975.28839111,7570.7244873,7316.01715088
2016-07-19T11:43:12.000000-0500,2016-07-19T11:44:09.000000-0500,11:43:07 AM ,3.398,165616.102219,7502.64167786,7192.02041626,6975.28839111,7570.7244873,7316.01715088
2016-07-19T11:43:28.000000-0500,2016-07-19T11:44:09.000000-0500,11:43:07 AM ,3.398,165689.220428,7502.53677368,7191.91551208,6975.28839111,7570.61958313,7316.01715088
2016-07-19T11:43:44.000000-0500,2016-07-19T11:44:10.000000-0500,11:43:29 AM ,3.498,164751.272202,7502.74658203,7192.02041626,6975.28839111,7570.61958313,7316.01715088
2016-07-19T11:44:00.000000-0500,2016-07-19T11:44:11.000000-0500,11:43:51 AM ,3.598,164128.56102,7503.06129456,7192.12532043,6975.49819946,7570.7244873,7316.12205505
2016-07-19T11:44:16.000000-0500,2016-07-19T11:45:07.000000-0500,11:44:13 AM ,3.698,206751.127243,7493.51501465,7189.39781189,6975.07858276,7571.144104,7316.43676758
2016-07-19T11:44:32.000000-0500,2016-07-19T11:45:07.000000-0500,11:44:13 AM ,3.698,163731.079102,7502.95639038,7192.02041626,6975.18348694,7570.51467896,7315.80734253
2016-07-19T11:44:48.000000-0500,2016-07-19T11:45:07.000000-0500,11:44:36 AM ,3.798,163452.978134,7502.95639038,7192.02041626,6975.07858276,7570.51467896,7315.80734253
2016-07-19T11:45:04.000000-0500,2016-07-19T11:45:08.000000-0500,11:44:58 AM ,3.898,163112.039566,7502.95639038,7192.02041626,6975.18348694,7570.40977478,7315.80734253
2016-07-19T11:45:36.000000-0500,2016-07-19T11:47:06.000000-0500,11:45:20 AM ,3.998,163075.428009,7502.95639038,7192.02041626,6975.18348694,7570.51467896,7315.80734253
2016-07-19T11:45:52.000000-0500,2016-07-19T11:47:07.000000-0500,11:45:42 AM ,4.098,162925.624847,7502.95639038,7192.02041626,6974.97367859,7570.40977478,7315.70243835
2016-07-19T11:46:08.000000-0500,2016-07-19T11:47:07.000000-0500,11:46:04 AM ,4.198,158144.407272,7503.90052795,7192.12532043,6975.07858276,7570.30487061,7315.59753418
2016-07-19T11:46:24.000000-0500,2016-07-19T11:47:08.000000-0500,11:46:04 AM ,4.198,162841.596603,7502.85148621,7191.91551208,6974.86877441,7570.40977478,7315.59753418
2016-07-19T11:46:40.000000-0500,2016-07-19T11:47:08.000000-0500,11:46:27 AM ,4.298,162763.547897,7502.95639038,7191.91551208,6975.07858276,7570.30487061,7315.59753418
2016-07-19T11:46:56.000000-0500,2016-07-19T11:47:09.000000-0500,11:46:49 AM ,4.398,162560.663223,7503.16619873,7192.02041626,6975.07858276,7570.51467896,7315.70243835
2016-07-19T11:47:12.000000-0500,2016-07-19T11:48:06.000000-0500,11:47:11 AM ,4.498,162691.583633,7502.85148621,7191.81060791,6975.07858276,7570.30487061,7315.70243835
2016-07-19T11:47:28.000000-0500,2016-07-19T11:48:06.000000-0500,11:47:11 AM ,4.498,162634.305954,7502.95639038,7191.91551208,6974.97367859,7570.40977478,7315.70243835
2016-07-19T11:47:44.000000-0500,2016-07-19T11:48:07.000000-0500,11:47:33 AM ,4.598,162568.426132,7502.95639038,7191.81060791,6974.97367859,7570.30487061,7315.70243835
2016-07-19T11:48:00.000000-0500,2016-07-19T11:48:08.000000-0500,11:47:55 AM ,4.698,157941.102982,7503.6907196,7192.12532043,6974.86877441,7570.30487061,7315.49263
2016-07-19T11:48:16.000000-0500,2016-07-19T11:49:12.000000-0500,11:47:55 AM ,4.698,162536.010742,7502.95639038,7191.81060791,6974.97367859,7570.30487061,7315.70243835
2016-07-19T11:48:32.000000-0500,2016-07-19T11:49:13.000000-0500,11:48:18 AM ,4.798,162505.483627,7502.95639038,7192.02041626,6974.97367859,7570.40977478,7315.70243835
2016-07-19T11:48:48.000000-0500,2016-07-19T11:49:13.000000-0500,11:48:40 AM ,4.898,162355.365753,7502.95639038,7191.91551208,6975.07858276,7570.40977478,7315.70243835
